Class,Precision,Recall,F1-Score,Support
Assault,0.206,0.031,0.054,1546
Burglary,0.2041,0.3069,0.2452,1196
Courtesy Report,0.0451,0.4462,0.0819,65
Disorderly Conduct,0.0488,0.0615,0.0544,374
Drug Offense,0.211,0.6372,0.317,645
Forgery And Counterfeiting,0.0143,0.2133,0.0269,75
Fraud,0.0789,0.1762,0.109,579
Larceny Theft,0.4656,0.2515,0.3266,5281
Lost Property,0.066,0.1178,0.0846,679
Malicious Mischief,0.126,0.0207,0.0356,1497
Miscellaneous Investigation,0.0526,0.0569,0.0547,457
Missing Person,0.1405,0.183,0.159,519
Motor Vehicle Theft,0.0929,0.0576,0.0711,590
Non-Criminal,0.1429,0.0102,0.0191,1367
Offences Against The Family And Children,0.0659,0.0891,0.0758,258
Other,0.2113,0.0597,0.0931,687
Other Miscellaneous,0.1839,0.0608,0.0914,1168
Other Offenses,0.032,0.1173,0.0503,162
Recovered Vehicle,0.1182,0.1721,0.1402,610
Robbery,0.0576,0.1208,0.078,414
Suspicious Occ,0.0642,0.0258,0.0368,543
Traffic Violation Arrest,0.012,0.1184,0.0217,76
Warrant,0.1706,0.2047,0.1861,806
Weapons Carrying Etc,0.0109,0.0923,0.0195,65
Weapons Offense,0.0325,0.1377,0.0526,138
--- MACRO AVG ---,0.1142,0.1508,0.0994,19797
--- WEIGHTED AVG ---,0.2254,0.1579,0.1606,19797
